Datetime,username,Text,language,coordinates
2020-12-29 08:24:26+00:00,ProfABBakker,Nurses' mental health and patient safety: An extension of the Job Demands–Resources model https://t.co/mnR86UnuEh,en,"Coordinates(longitude=4.9702867, latitude=52.0262429)"
2020-12-13 21:04:18+00:00,Noah99978,"While a lot of people are tired from the lockdown,the nurses and healthcare workers are physically and mentally tired. We need them now and in future. Please wear your mask, don't go out if not necessarily and don't be an asshole who knows it better. Stay safe, all over the world https://t.co/ThOIB1gQmv",en,"Coordinates(longitude=3.2976616, latitude=50.750449)"
2020-10-30 19:09:28+00:00,superjip,"@CarlKonigel Die ‘nurse’, niet jouw account 😉",nl,"Coordinates(longitude=5.1021407, latitude=52.1776298)"
