Datetime,username,Text,language,coordinates
2019-09-26 06:32:21+00:00,Antonie19031966,Profile: A doctor updates 70 years of medical records - Xinhua | https://t.co/kXkUeC89B4.cnhttp://www.xinhuanet.com/english/2019-09/25/c_138422452.htm#0-twi-1-29987-7250227817ecdff034dc9540e6c76667 love This. Sooooo Many thx. Beautiful,en,"Coordinates(longitude=4.9702867, latitude=52.0262429)"
2019-09-18 13:34:49+00:00,laurarathbone,@KarenonUX @doctor_oxford @BorisJohnson Oh my god I have literally been feeling like we are living in this book for the last few months... #1984,en,"Coordinates(longitude=5.0176128, latitude=52.278009)"
2019-09-09 19:57:57+00:00,jessehouwing,"@TagAlongDeb Medicine bottles, so typical American ;).

But on that advice, what's over the counter in one country is illegal in another or at least requires a doctor's exam.

Had that with simple Advil arthritis pills. Can't get those from a farmacy in Italy, won't need a prescription in NL.",en,"Coordinates(longitude=4.9702867, latitude=52.0262429)"
2019-09-02 21:16:00+00:00,tafkatp,"Benoordenhoutseweg 46. Please fix this and do this asap. My day began with doctors telling me I probably will not walk more than a quarter of a mile, then telling me I won't be going home any day soon and it ended with this disappointment since it was a twoofer in where my wife",en,"Coordinates(longitude=5.0629808, latitude=51.9969269)"
2019-08-15 18:25:55+00:00,mv9_,"Me rompí el codo y al operarme me pusieron unos hierros. Se me infectaba cada 2x3 y el doctor sólo decía que siguiera con antibióticos. A los 6 meses me sacaron los hierros en otro hospital y resulta que eran de un grosor mucho mayor, ya se me había infectado hasta el hueso. https://t.co/klRUxpaVj1",es,"Coordinates(longitude=4.9702867, latitude=52.0262429)"
2019-08-13 15:39:52+00:00,Benthifer,@AirborneChick2 @PhilipWegmann Personal responsibilty isn't their jam. As evidenced by their hysteria over the richest of citizens having to make a five dollar copay at the doctor's office that comes with two tier universal coverage.,en,"Coordinates(longitude=4.7919685, latitude=52.0649667)"
2019-08-08 18:55:59+00:00,dennisruyer,@danielverlaan Een potje Call of duty a day keeps the doctor away,en,"Coordinates(longitude=5.1021407, latitude=52.1776298)"
2019-08-06 08:57:23+00:00,RoarandClank,"My goodness okay so this tweet is still rolling im a cosplayer myself ;) specialize in armor and monstersuits.  

I obsess over doctor strange on the side. https://t.co/tzkE7uLg9Q",en,"Coordinates(longitude=5.2432057, latitude=52.1103985)"
2019-08-03 21:51:02+00:00,SoulflowersNL,"🌈 Unicorn, Doctor, Guru, Sweety Pie 💙 
•
•
•
#doctorflip🦄 #soulsandflowers #intrinsicmotivation #dopamine #naturalleadership @ 's-Graveland https://t.co/y1iasd5peP",en,"Coordinates(longitude=5.12173, latitude=52.23808)"
2019-07-30 17:30:58+00:00,julalouise,"@James1940 (Mr. Trump’s traits aren’t functional and that’s why he gets into trouble) Many high achievers need these traits to function as well as they do on the job, but these very same traits can cause them to be abrasive at the same time. Many doctors have narcissistic traits 😳",en,"Coordinates(longitude=3.2976616, latitude=50.750449)"
2019-07-23 15:11:18+00:00,JoyceBrowne,👇 (&amp; same list applies to doctors too!) https://t.co/9xyRoQYeqL,en,"Coordinates(longitude=4.9702867, latitude=52.0262429)"
