Datetime,username,Text,language,coordinates
2021-12-29 19:24:45+00:00,MetalWout,"Witch Doctor..... 🤘🏻🤘🏻

#rondjeslopen #Top2000",en,"Coordinates(longitude=5.1927806, latitude=52.0585255)"
2021-12-27 20:49:20+00:00,MegaStarlyEX,why didn't doctor who prevent brexit,en,"Coordinates(longitude=4.9702867, latitude=52.0262429)"
2021-11-22 15:36:35+00:00,janbiedthulp,@alonrmusk then I'd go see a doctor.,en,"Coordinates(longitude=5.1021407, latitude=52.1776298)"
2021-04-16 10:49:32+00:00,Cynthia_Sitara,"I am not in the age group that needs to be vaccinated. My immune system is fine. My family works in healthcare &amp; had mild Corona.Just not me. 
so far, so good🙏
Consult your doctor if you need any vaccin for &lt;40 &lt;30 years as there might be possibilities. Stay healthy! #Healthcare",en,"Coordinates(longitude=3.2976616, latitude=50.750449)"
2021-01-18 12:05:27+00:00,HuurmanSuzanne,"𝗧𝗲𝗮𝗺𝘄𝗼𝗿𝗸 𝗠𝗮𝗸𝗲𝘀 𝘁𝗵𝗲 𝗗𝗿𝗲𝗮𝗺 𝗪𝗼𝗿𝗸 

Ook dit jaar weer zijn zowel mijn collega sportarts dr. Belle van Meer als ik TeamNL High Performance Partner 

In 2021, both my colleague sports doctor Dr. Belle van Meer and I will again be TeamNL High Performance Partner https://t.co/JKS3VZ5xPq",nl,"Coordinates(longitude=5.058459544058819, latitude=52.10274799795172)"
2021-01-11 20:10:08+00:00,plantscifyi,"Two years ago I became a Doctor in Plant Physiology @WUR. When I look back I feel so proud and grateful, and now I look forward to continue on this challenging (yet so exciting!) academic path.🍀🤩🤗💪🏾🌱✨
#plantscifyi #phdone #drme #gratitude #keepgoing #orgulho #gratidão https://t.co/vmGjyE5SPq",en,"Coordinates(longitude=4.9702867, latitude=52.0262429)"
2021-01-04 00:47:17+00:00,ChiKinCheng,"Broke my 💍 finger  during autumn break, and it is still not proper healed. Doctors 🥼 wondering 💭 why?  -&gt; 🥘, 🧹, 🧼, and more 🧹 #she #don’t #see #it or value it at all 😤😭 🤦🏻‍♂️",en,"Coordinates(longitude=5.1021407, latitude=52.1776298)"
2021-01-02 09:09:13+00:00,aahoogendoorn,Having a degree in medicine doesn't make you a good doctor. But it sure helps. https://t.co/fcCPzDkafI,en,"Coordinates(longitude=4.9702867, latitude=52.0262429)"
